id,Title,Authors,Year,Venue,Search Query,Source URL,v1_decision,v1_reason
157,"Search Result 157: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
158,"Search Result 158: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
159,"Search Result 159: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
160,"Search Result 160: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
161,"Search Result 161: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
162,"Search Result 162: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
163,"Search Result 163: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
164,"Search Result 164: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
165,"Search Result 165: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ScienceDirect,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
166,"Search Result 166: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
167,"Search Result 167: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
168,"Search Result 168: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
169,"Search Result 169: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
170,"Search Result 170: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
171,"Search Result 171: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
172,"Search Result 172: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
173,"Search Result 173: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
174,"Search Result 174: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
175,"Search Result 175: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
176,"Search Result 176: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
177,"Search Result 177: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
178,"Search Result 178: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
179,"Search Result 179: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
180,"Search Result 180: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,IEEE Xplore,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
181,"Search Result 181: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
182,"Search Result 182: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
183,"Search Result 183: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
184,"Search Result 184: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
185,"Search Result 185: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
186,"Search Result 186: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
187,"Search Result 187: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
188,"Search Result 188: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
189,"Search Result 189: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
190,"Search Result 190: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
191,"Search Result 191: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
192,"Search Result 192: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
193,"Search Result 193: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
194,"Search Result 194: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
195,"Search Result 195: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
196,"Search Result 196: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
197,"Search Result 197: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,Google Scholar,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
198,"Search Result 198: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
199,"Search Result 199: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
200,"Search Result 200: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
201,"Search Result 201: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
202,"Search Result 202: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
203,"Search Result 203: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
204,"Search Result 204: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
205,"Search Result 205: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
206,"Search Result 206: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
207,"Search Result 207: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
208,"Search Result 208: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
209,"Search Result 209: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
210,"Search Result 210: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
211,"Search Result 211: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
212,"Search Result 212: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ACM Digital Library,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
213,"Search Result 213: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
214,"Search Result 214: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
215,"Search Result 215: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
216,"Search Result 216: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,Google Scholar,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
217,"Search Result 217: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
218,"Search Result 218: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
219,"Search Result 219: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
220,"Search Result 220: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
221,"Search Result 221: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
222,"Search Result 222: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
223,"Search Result 223: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
224,"Search Result 224: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
225,"Search Result 225: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
226,"Search Result 226: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
227,"Search Result 227: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,arXiv,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
228,"Search Result 228: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
